"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"TP3,TP7,TP6,TP5,TP4,TP3,TP2,TP1";"Testpoint_smd_1mm";8;"TP_SMD1MM";;;
2;"R30";"R_Array_Convex_8x0602";1;"EXB2HV220JV";;;
3;"R29,R28,R27,R11,R7";"0402-res";5;"R_22R_0402";;;
4;"R26,R25,R24,R13";"0402-res";4;"R_100R_0402";;;
5;"Q5,Q4,Q3,Q1";"SOT-23-3";4;"BSS138AKA";;;
6;"J4";"PinHeader_2x1mm_P2mm_SMD_RA";1;"S2B-PH-SM4-TB_LF__SN_";;;
7;"S2,S1";"SW_SPST_4.2x3.2";2;"TL3365AF180QG";;;
8;"D11,D10,D9,D8,D7,D6,D5,D3";"SOT-3";8;"TPD2EUSB30DRTR";;;
9;"J3";"1x16_pinhead";1;"1x16_pinhead";;;
10;"S2,S1";"Switch_Tactile_SMD_6x6mm_PTS645";2;"PTS645SM43SMTR92_LFS";;;
11;"R23,R22,R21,R20,R19,R18,R15,R14,R10,R8,R6";"0402-res";11;"R_10k_0402";;;
12;"R20,R18";"0402-res";2;"R_4k7_0402";;;
13;"J2";"1x12_pinhead";1;"1x12_pinhead";;;
14;"J1";"SHF-105-01-L-D-SM";1;"SHF-105-01-L-D-SM";;;
15;"D4";"LED-RGB-5DS-UHD1110-FKA";1;"UHD1110-FKA";;;
16;"C17,C15,C13,C12";"0402-cap";4;"C_100n_0402_6V3";;;
17;"C16,C14,C1";"0603-cap";3;"C_4u7_0603";;;
18;"R12,R17";"0402-res";2;"R_100k_1%_0402";;;
19;"U5";"MC3635";1;"MC3635";;;
20;"R16";"0402-res";1;"R_200k_0402";;;
21;"Q2";"SOT-23-3";1;"BSS84";;;
22;"C11,C10,C9,C8";"0402-cap";4;"C_100n_0402_6V3";;;
23;"U4";"PG-VLGA-8-2";1;"DPS310";;;
24;"MIC1";"IM69D130";1;"IM69D130";;;
25;"U3";"GD25Q16CWIG";1;"GD25Q16CWIGR";;;
26;"R9";"0402-res";1;"R_1k5_0402";;;
27;"C7,C6";"0402-cap";2;"C_12p_0402";;;
28;"IC1";"42-WLCSP";1;"EOS-S3";;;
29;"X1";"SMD-2_3.2x1.5mm";1;"ECS-_327-12_5-34B-TR";;;
30;"U1";"QFN-8_2x1mm";1;"TPS62821DLCR";;;
31;"C3";"0402-cap";1;"C_100p_0402";;;
32;"R5,R1";"0402-res";2;"R_100k_0402";;;
33;"R4";"0402-res";1;"R_453k_0402";;;
34;"R3";"0402-res";1;"R_1k_0402";;;
35;"R2";"0402-res";1;"R_5k11_0402";;;
36;"C4";"0603-cap";1;"C_22u_0603";;;
37;"C2,C5";"0603-cap";2;"C_10u_0603";;;
38;"L1";"0805-res";1;"DFE201610E-R47M=P2";;;
39;"D2";"LED_0603";1;"LG_L29K-G2J1-24-Z";;;
40;"D1";"SOD-123";1;"MBR0520LT1G";;;
41;"U2";"SOT-753";1;"MCP73831T-2ACI_OT";;;
42;"J5";"USB_Micro_B_Female_0473460001";1;"0473460001";;;
