Reference, Value, Footprint, Datasheet, MPN, Manufacturer, Val, DNP, Manufaturer
"J5","0473460001","quicklogic-quick-feather-board-footprints:USB_Micro_B_Female_0473460001","https://www.molex.com/pdm_docs/sd/473460001_sd.pdf","0473460001","Molex","","",""
"L1","DFE201610E-R47M=P2","quicklogic-quick-feather-board-footprints:0805-res","","DFE201610E-R47M=P2","Murata","","",""
"R1","R_100k_0402","quicklogic-quick-feather-board-footprints:0402-res","","CRCW0402100KFKEDHP","VISHAY","100k","",""
"C3","C_100p_0402","quicklogic-quick-feather-board-footprints:0402-cap","","0402N101J500CT","WALSIN","100p","",""
"C1","C_4u7_0603","quicklogic-quick-feather-board-footprints:0603-cap","","C1608X5R1V475M080AC","TDK","4u7","",""
"C4","C_22u_0603","quicklogic-quick-feather-board-footprints:0603-cap","","GRM188R60J226MEA0D","MURATA","22u","",""
"R5","R_100k_0402","quicklogic-quick-feather-board-footprints:0402-res","","CRCW0402100KFKEDHP","VISHAY","100k","",""
"D2","LG_L29K-G2J1-24-Z","quicklogic-quick-feather-board-footprints:LED_0603","https://dammedia.osram.info/media/resource/hires/osram-dam-2493945/LG%20L29K.pdf","LG L29K-G2J1-24-Z","OSRAM Opto Semiconductors Inc.","","",""
"D1","MBR0520LT1G","quicklogic-quick-feather-board-footprints:SOD-123","http://www.onsemi.com/pub/Collateral/MBR0520LT1-D.PDF","MBR0520LT1G","ON Semiconductor","","",""
"U1","TPS62821DLCR","quicklogic-quick-feather-board-footprints:QFN-8_2x1mm","","TPS62821DLCR","Texas Instruments","","",""
"R4","R_453k_0402","quicklogic-quick-feather-board-footprints:0402-res","","CRCW0402453KFKED","VISHAY","453k","",""
"R8","R_10k_0402","quicklogic-quick-feather-board-footprints:0402-res","","CRCW040210K0FKEDHP","VISHAY","10k","",""
"R10","R_10k_0402","quicklogic-quick-feather-board-footprints:0402-res","","CRCW040210K0FKEDHP","VISHAY","10k","",""
"R6","R_10k_0402","quicklogic-quick-feather-board-footprints:0402-res","","CRCW040210K0FKEDHP","VISHAY","10k","",""
"X1","ECS-_327-12_5-34B-TR","quicklogic-quick-feather-board-footprints:SMD-2_3.2x1.5mm","http://www.ecsxtal.com/store/pdf/ecx-31b.pdf","ECS-.327-12.5-34B-TR","ECS Inc.","","",""
"C6","C_12p_0402","quicklogic-quick-feather-board-footprints:0402-cap","","CGA2B2C0G1H120J050BA","TDK","12p","",""
"C7","C_12p_0402","quicklogic-quick-feather-board-footprints:0402-cap","","CGA2B2C0G1H120J050BA","TDK","12p","",""
"C8","C_100n_0402_6V3","quicklogic-quick-feather-board-footprints:0402-cap","","0402X104K6R3CT","Walsin","100n","",""
"U3","GD25Q16CWIGR","quicklogic-quick-feather-board-footprints:GD25Q16CWIG","http://www.gigadevice.com/datasheet/gd25q16c/","GD25Q16CWIGR","GigaDevice","","",""
"R7","R_22R_0402","quicklogic-quick-feather-board-footprints:0402-res","","CRCW040222R0FKED","VISHAY","22R","",""
"R11","R_22R_0402","quicklogic-quick-feather-board-footprints:0402-res","","CRCW040222R0FKED","VISHAY","22R","",""
"R9","R_1k5_0402","quicklogic-quick-feather-board-footprints:0402-res","","ERJ2RKF1501X","PANASONIC_ELECTRONIC_COMPONENTS","1k5","",""
"MIC1","IM69D130","quicklogic-quick-feather-board-footprints:IM69D130","https://www.infineon.com/dgdl/Infineon-IM69D130-DS-v01_00-EN.pdf?fileId=5546d462602a9dc801607a0e46511a2e","IM69D130","Infineon","","",""
